"","Item.Code","X.x","Conversion.Ratio","X.y","Date","Month.Year","Warehouse.Code","Customer.Code","Order.Number","Order.Line.Number","Units","Euros","TotalValue"
"653","812105-05",12376,0.242,1509108,"28/6/2021","Jun-21",3403434,"5002915-15",21024888,91,6,16.16,96.96
"654","812105-05",12376,0.242,1047424,"11/5/2021","May-21",3403434,"5002915-15",21031660,49,6,17.96,107.76
"655","812105-05",12376,0.242,374242,"16/2/2021","Feb-21",3403434,"5002915-15",21008835,33,6,18.01,108.06
"656","812105-05",12376,0.242,2533107,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,82,6,17.96,107.76
"657","812105-05",12376,0.242,618743,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,63,6,17.96,107.76
"658","812105-05",12376,0.242,1577968,"5/7/2021","Jul-21",3403434,"5002915-15",21024956,92,24,64.66,1551.84
"659","8128704-04",10878,0.02092,1047386,"11/5/2021","May-21",3403434,"5002915-15",21031660,9,60,58.7,3522
"660","8128704-04",10878,0.02092,285751,"5/2/2021","Jan-21",3403434,"5397843-43",21006170,3,300,429.63,128889
"661","8128704-04",10878,0.02092,2422031,"30/9/2021","Sep-21",3403434,"5003474-74",21083937,54,30,29.35,880.5
"662","8128704-04",10878,0.02092,832552,"14/4/2021","Apr-21",3403434,"5002915-15",21024808,5,30,29.35,880.5
"663","8128704-04",10878,0.02092,1107880,"18/5/2021","May-21",3403434,"5003451-51",21033036,37,40,39.14,1565.6
"664","8128704-04",10878,0.02092,2336202,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,55,660,838.86,553647.6
"665","8128704-04",10878,0.02092,2125540,"30/8/2021","Aug-21",3403434,"5003474-74",21079664,10,80,78.27,6261.6
"666","8128704-04",10878,0.02092,1081975,"14/5/2021","May-21",3403434,"5003474-74",21032286,24,40,39.14,1565.6
"667","8128704-04",10878,0.02092,444497,"24/2/2021","Feb-21",3403434,"5003476-76",21010352,19,100,97.34,9734
"668","8128704-04",10878,0.02092,547382,"9/3/2021","Mar-21",3403434,"5003474-74",21012886,28,40,39.14,1565.6
"669","8128704-04",10878,0.02092,2017170,"18/8/2021","Aug-21",3403434,"5002915-15",21076337,18,100,97.84,9784
"670","8128704-04",10878,0.02092,920226,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,38,40,39.14,1565.6
"671","8128704-04",10878,0.02092,1299927,"8/6/2021","Jun-21",3403434,"5002915-15",21037066,20,40,39.14,1565.6
"672","8128704-04",10878,0.02092,895917,"21/4/2021","Apr-21",3403434,"5003476-76",21026063,4,100,97.84,9784
"673","8128704-04",10878,0.02092,274080,"4/2/2021","Jan-21",3403434,"5003451-51",21006216,37,30,29.2,876
"674","8128704-04",10878,0.02092,2458333,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,57,730,927.83,677315.9
"675","8128704-04",10878,0.02092,2166004,"2/9/2021","Aug-21",3403434,"5003474-74",21080584,24,40,39.14,1565.6
"676","8128704-04",10878,0.02092,14489,"7/1/2021","Jan-21",3403434,"5397843-43",20258239,5,400,550.04,220016
"677","8128704-04",10878,0.02092,2513156,"11/10/2021","Oct-21",3403434,"5334855-55",21008771,3,140,217.7777756,30488.888584
"678","8128704-04",10878,0.02092,2386892,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,26,30,29.35,880.5
"679","8128704-04",10878,0.02092,1304279,"8/6/2021","Jun-21",3403434,"5003474-74",21037055,24,40,39.14,1565.6
"680","8128704-04",10878,0.02092,25450,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,70,40,38.94,1557.6
"681","8128704-04",10878,0.02092,2088141,"25/8/2021","Aug-21",3403434,"5293132-32",21078778,26,30,29.35,880.5
"682","8128704-04",10878,0.02092,1219482,"31/5/2021","May-21",3403434,"5293132-32",21035554,14,20,19.57,391.4
"683","8128704-04",10878,0.02092,812395,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,58,50,48.92,2446
"684","8128704-04",10878,0.02092,208628,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,68,40,38.94,1557.6
"685","8128704-04",10878,0.02092,1581147,"5/7/2021","Jul-21",3403434,"5003476-76",21017027,109,100,97.84,9784
"686","8128704-04",10878,0.02092,2533066,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,38,60,58.7,3522
"687","8128704-04",10878,0.02092,522197,"5/3/2021","Feb-21",3403434,"5397843-43",21012075,11,150,214.82,32223
"688","8128704-04",10878,0.02092,643379,"19/3/2021","Mar-21",3403434,"5293132-32",21017093,20,20,19.57,391.4
"689","8128704-04",10878,0.02092,724981,"30/3/2021","Mar-21",3403434,"5003476-76",21020800,15,60,58.7,3522
"690","8128704-04",10878,0.02092,1431225,"18/6/2021","Jun-21",3403434,"5397843-43",21038686,4,600,859.26,515556
"691","8128704-04",10878,0.02092,2534285,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,56,80,78.27,6261.6
"692","8128704-04",10878,0.02092,2669973,"28/10/2021","Oct-21",3403434,"5397843-43",21089497,59,1000,1432.1,1432100
"693","8128704-04",10878,0.02092,2523337,"12/10/2021","Oct-21",3403434,"5003476-76",21086059,30,40,39.14,1565.6
"694","8128704-04",10878,0.02092,114394,"19/1/2021","Jan-21",3403434,"5002915-15",21002514,27,60,58.4,3504
"695","8128704-04",10878,0.02092,2061891,"23/8/2021","Aug-21",3403434,"5003474-74",21077515,6,80,78.27,6261.6
"696","8128704-04",10878,0.02092,1349407,"11/6/2021","Jun-21",3403434,"5003476-76",21037588,5,100,97.84,9784
"697","8128704-04",10878,0.02092,1851898,"30/7/2021","Jul-21",3403434,"5397843-43",21055353,15,300,429.63,128889
"698","8128704-04",10878,0.02092,464479,"26/2/2021","Feb-21",3403434,"5003269-69",21010698,34,30,29.2,876
"699","8128704-04",10878,0.02092,618741,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,61,60,58.7,3522
"700","8128704-04",10878,0.02092,363039,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,27,30,0,0
"701","8128704-04",10878,0.02092,2072367,"24/8/2021","Aug-21",3403434,"5002915-15",21077926,15,100,97.84,9784
"702","8128704-04",10878,0.02092,115959,"19/1/2021","Jan-21",3403434,"5397843-43",21002928,16,300,429.63,128889
"703","8128704-04",10878,0.02092,856928,"16/4/2021","Apr-21",3403434,"5397843-43",21025285,20,1000,1331.9,1331900
"704","8128704-04",10878,0.02092,1220063,"31/5/2021","May-21",3403434,"5003451-51",21035518,42,20,19.57,391.4
"705","8128704-04",10878,0.02092,607601,"16/3/2021","Mar-21",3403434,"5003476-76",21015125,1,100,97.84,9784
"706","8128704-04",10878,0.02092,1581273,"5/7/2021","Jul-21",3403434,"5003476-76",21017041,116,40,39.14,1565.6
"707","8128704-04",10878,0.02092,2259810,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,110,10,0,0
"708","8128704-04",10878,0.02092,2259777,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,76,20,18.59,371.8
"709","8128704-04",10878,0.02092,792872,"8/4/2021","Apr-21",3403434,"5397843-43",21023760,13,300,429.63,128889
"710","8128704-04",10878,0.02092,962977,"29/4/2021","Apr-21",3403434,"5003269-69",21028868,28,30,29.35,880.5
"711","8128704-04",10878,0.02092,1025741,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,56,40,39.14,1565.6
"712","8128704-04",10878,0.02092,512179,"4/3/2021","Feb-21",3403434,"5003451-51",21011938,25,20,19.47,389.4
"713","8128704-04",10878,0.02092,102476,"18/1/2021","Jan-21",3403434,"5003476-76",21001330,41,120,116.81,14017.2
"714","8128704-04",10878,0.02092,274145,"4/2/2021","Jan-21",3403434,"5003474-74",21006033,7,60,58.4,3504
"715","8128704-04",10878,0.02092,2398440,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,56,590,749.89,442435.1
"716","8128704-04",10878,0.02092,374215,"16/2/2021","Feb-21",3403434,"5002915-15",21008835,6,20,19.47,389.4
"717","8128704-04",10878,0.02092,570428,"11/3/2021","Mar-21",3403434,"5003451-51",21013968,37,40,39.14,1565.6
"718","8128704-04",10878,0.02092,102416,"18/1/2021","Jan-21",3403434,"5003451-51",21001785,57,40,38.94,1557.6
"719","8128704-04",10878,0.02092,724926,"30/3/2021","Mar-21",3403434,"5003474-74",21020633,1,60,58.7,3522
"720","8128741-41",10880,0.03392,114377,"19/1/2021","Jan-21",3403434,"5002915-15",21002514,10,40,75.86,3034.4
"721","8128741-41",10880,0.03392,1106459,"18/5/2021","May-21",3403434,"5029913-13",21031897,3,1400,3381.7,4734380
"722","8128741-41",10880,0.03392,2598422,"20/10/2021","Oct-21",3403434,"5029913-13",21088284,2,1120,2705.36,3030003.2
"723","8128741-41",10880,0.03392,812396,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,59,80,148.75,11900
"724","8128741-41",10880,0.03392,2523338,"12/10/2021","Oct-21",3403434,"5003476-76",21086059,31,40,74.38,2975.2
"725","8128741-41",10880,0.03392,2659335,"27/10/2021","Oct-21",3403434,"5029913-13",21089663,4,1120,2705.36,3030003.2
"726","8128741-41",10880,0.03392,464480,"26/2/2021","Feb-21",3403434,"5003269-69",21010698,35,30,56.89,1706.7
"727","8128741-41",10880,0.03392,2422032,"30/9/2021","Sep-21",3403434,"5003474-74",21083937,55,30,55.78,1673.4
"728","8128741-41",10880,0.03392,1107881,"18/5/2021","May-21",3403434,"5003451-51",21033036,38,40,74.38,2975.2
"729","8128741-41",10880,0.03392,1232421,"1/6/2021","May-21",3403434,"9066250-50",21022259,19,1720,4154.66,7146015.2
"730","8128741-41",10880,0.03392,259856,"3/2/2021","Jan-21",3403434,"5029913-13",21005182,2,2520,5991.55,15098706
"731","8128741-41",10880,0.03392,679400,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,3,1400,3381.7,4734380
"732","8128741-41",10880,0.03392,965579,"29/4/2021","Apr-21",3403434,"5003474-74",21028855,13,30,55.78,1673.4
"733","8128741-41",10880,0.03392,1165034,"25/5/2021","May-21",3403434,"9066250-50",21021776,13,570,1376.84,784798.8
"734","8128741-41",10880,0.03392,128661,"20/1/2021","Jan-21",3403434,"5029913-13",21002923,4,1680,3994.37,6710541.6
"735","8128741-41",10880,0.03392,2088142,"25/8/2021","Aug-21",3403434,"5293132-32",21078778,27,30,55.78,1673.4
"736","8128741-41",10880,0.03392,570429,"11/3/2021","Mar-21",3403434,"5003451-51",21013968,38,40,74.38,2975.2
"737","8128741-41",10880,0.03392,801498,"9/4/2021","Apr-21",3403434,"5029913-13",21023570,4,1960,4734.38,9279384.8
"738","8128741-41",10880,0.03392,274081,"4/2/2021","Jan-21",3403434,"5003451-51",21006216,38,50,94.82,4741
"739","8128741-41",10880,0.03392,618740,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,60,60,111.56,6693.6
"740","8128741-41",10880,0.03392,62073,"13/1/2021","Jan-21",3403434,"5029913-13",21000584,3,1960,4660.1,9133796
"741","8128741-41",10880,0.03392,444498,"24/2/2021","Feb-21",3403434,"5003476-76",21010352,20,100,189.64,18964
"742","8128741-41",10880,0.03392,1220064,"31/5/2021","May-21",3403434,"5003451-51",21035518,43,20,37.19,743.8
"743","8128741-41",10880,0.03392,746793,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,5,1400,3381.7,4734380
"744","8128741-41",10880,0.03392,643617,"19/3/2021","Mar-21",3403434,"5003451-51",21016766,19,40,74.38,2975.2
"745","8128741-41",10880,0.03392,895918,"21/4/2021","Apr-21",3403434,"5003476-76",21026063,5,120,223.13,26775.6
"746","8128741-41",10880,0.03392,22944,"8/1/2021","Jan-21",3403434,"5029913-13",20258208,2,2240,5325.82,11929836.8
"747","8128741-41",10880,0.03392,2470813,"6/10/2021","Oct-21",3403434,"5029913-13",21085068,1,560,1352.68,757500.8
"748","8128741-41",10880,0.03392,2409242,"29/9/2021","Sep-21",3403434,"5029913-13",21084150,2,560,1352.68,757500.8
"749","8128741-41",10880,0.03392,920227,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,39,40,74.38,2975.2
"750","8128741-41",10880,0.03392,1610016,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,5,4200,10145.1,42609420
"751","8128741-41",10880,0.03392,25451,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,71,40,75.86,3034.4
"752","8128741-41",10880,0.03392,1299928,"8/6/2021","Jun-21",3403434,"5002915-15",21037066,21,40,74.38,2975.2
"753","8128741-41",10880,0.03392,1893748,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,5,1930,4661.92,8997505.6
"754","8128741-41",10880,0.03392,207981,"28/1/2021","Jan-21",3403434,"5029913-13",21004423,5,2240,5325.82,11929836.8
"755","8128741-41",10880,0.03392,441970,"24/2/2021","Feb-21",3403434,"5029913-13",21010299,3,1960,4660.1,9133796
"756","8128741-41",10880,0.03392,619334,"17/3/2021","Mar-21",3403434,"5029913-13",21015794,4,1400,3381.7,4734380
"757","8128741-41",10880,0.03392,2533443,"13/10/2021","Oct-21",3403434,"5029913-13",21086746,2,840,2029.02,1704376.8
"758","8128741-41",10880,0.03392,2534286,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,57,40,74.38,2975.2
"759","8128741-41",10880,0.03392,1165035,"25/5/2021","May-21",3403434,"9066250-50",21021776,14,40,96.62,3864.8
"760","8128741-41",10880,0.03392,444438,"24/2/2021","Feb-21",3403434,"5003451-51",21010443,47,30,56.89,1706.7
"761","8128741-41",10880,0.03392,1081960,"14/5/2021","May-21",3403434,"5003474-74",21032286,9,100,185.94,18594
"762","8128741-41",10880,0.03392,724928,"30/3/2021","Mar-21",3403434,"5003474-74",21020633,4,100,185.94,18594
"763","8128741-41",10880,0.03392,546718,"9/3/2021","Mar-21",3403434,"5029913-13",21012651,4,1680,4058.04,6817507.2
"764","8128741-41",10880,0.03392,1484926,"24/6/2021","Jun-21",3403434,"5029913-13",21039691,1,560,1352.68,757500.8
"765","8128741-41",10880,0.03392,102417,"18/1/2021","Jan-21",3403434,"5003451-51",21001785,58,50,94.82,4741
"766","8128741-41",10880,0.03392,2284817,"15/9/2021","Sep-21",3403434,"5029913-13",21082159,3,280,676.34,189375.2
"767","8128741-41",10880,0.03392,607602,"16/3/2021","Mar-21",3403434,"5003476-76",21015125,2,100,185.94,18594
"768","8128741-41",10880,0.03392,2458327,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,50,1020,2463.81,2513086.2
"769","8128741-41",10880,0.03392,363040,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,28,30,0,0
"770","8128741-41",10880,0.03392,2398434,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,49,950,2294.73,2179993.5
"771","8128741-41",10880,0.03392,208629,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,69,40,75.86,3034.4
"772","8128741-41",10880,0.03392,397897,"18/2/2021","Feb-21",3403434,"5029913-13",21009087,5,3080,7323.01,22554870.8
"773","8128741-41",10880,0.03392,1581274,"5/7/2021","Jul-21",3403434,"5003476-76",21017041,117,40,74.38,2975.2
"774","8128741-41",10880,0.03392,1893749,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,5,30,72.47,2174.1
"775","8128741-41",10880,0.03392,1025742,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,57,40,74.38,2975.2
"776","8128741-41",10880,0.03392,2533065,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,37,60,111.56,6693.6
"777","8128741-41",10880,0.03392,1047387,"11/5/2021","May-21",3403434,"5002915-15",21031660,10,70,130.16,9111.2
"778","8128741-41",10880,0.03392,2386893,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,27,30,55.78,1673.4
"779","8128741-41",10880,0.03392,547361,"9/3/2021","Mar-21",3403434,"5003474-74",21012886,7,100,185.94,18594
"780","8128741-41",10880,0.03392,2259811,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,111,10,0,0
"781","8128741-41",10880,0.03392,2611088,"21/10/2021","Oct-21",3403434,"5003474-74",21088400,1,40,74.38,2975.2
"782","8128741-41",10880,0.03392,832548,"14/4/2021","Apr-21",3403434,"5002915-15",21024808,1,60,111.56,6693.6
"783","8128741-41",10880,0.03392,2359974,"23/9/2021","Sep-21",3403434,"5029913-13",21083282,1,560,1352.68,757500.8
"784","8128741-41",10880,0.03392,833276,"14/4/2021","Apr-21",3403434,"5029913-13",21024753,5,5040,12174.12,61357564.8
"785","8128741-41",10880,0.03392,1206816,"28/5/2021","May-21",3403434,"5029913-13",21034769,5,5040,12174.12,61357564.8
"786","8128741-41",10880,0.03392,846643,"15/4/2021","Apr-21",3403434,"5003474-74",21024966,1,120,223.13,26775.6
"787","8128741-41",10880,0.03392,2259778,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,77,20,35.33,706.6
"788","8128741-41",10880,0.03392,2336196,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,48,870,2101.49,1828296.3
"789","8128741-41",10880,0.03392,102477,"18/1/2021","Jan-21",3403434,"5003476-76",21001330,42,120,227.57,27308.4
"790","8128741-41",10880,0.03392,274146,"4/2/2021","Jan-21",3403434,"5003474-74",21006033,8,60,113.78,6826.8
"791","8128741-41",10880,0.03392,512180,"4/3/2021","Feb-21",3403434,"5003451-51",21011938,26,20,37.93,758.6
"792","8129221-21",10881,0.04991,2611089,"21/10/2021","Oct-21",3403434,"5003474-74",21088400,2,40,109.03,4361.2
"793","8129221-21",10881,0.04991,274082,"4/2/2021","Jan-21",3403434,"5003451-51",21006216,39,100,278.41,27841
"794","8129221-21",10881,0.04991,920228,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,40,90,245.32,22078.8
"795","8129221-21",10881,0.04991,2386894,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,28,30,81.77,2453.1
"796","8129221-21",10881,0.04991,2534287,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,58,180,490.64,88315.2
"797","8129221-21",10881,0.04991,1107882,"18/5/2021","May-21",3403434,"5003451-51",21033036,39,90,245.32,22078.8
"798","8129221-21",10881,0.04991,444439,"24/2/2021","Feb-21",3403434,"5003451-51",21010443,48,60,167.05,10023
"799","8129221-21",10881,0.04991,363041,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,29,60,0,0
"800","8129221-21",10881,0.04991,1349357,"11/6/2021","Jun-21",3403434,"5003451-51",21037581,20,60,163.55,9813
"801","8129221-21",10881,0.04991,1025743,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,58,80,218.06,17444.8
"802","8129221-21",10881,0.04991,512181,"4/3/2021","Feb-21",3403434,"5003451-51",21011938,27,40,111.36,4454.4
"803","8155073-73",5324,0.06,1552358,"1/7/2021","Jun-21",3403434,"5003474-74",21017001,88,10,12.94,129.4
"804","8155073-73",5324,0.06,2180881,"3/9/2021","Aug-21",3403434,"5003476-76",21080959,3,200,258.86,51772
"805","8155073-73",5324,0.06,1581265,"5/7/2021","Jul-21",3403434,"5003476-76",21017041,108,20,25.89,517.8
"806","8206444-44",6598,0.017,2166009,"2/9/2021","Aug-21",3403434,"5003474-74",21080584,29,20,14.98,299.6
"807","8206444-44",6598,0.017,1304284,"8/6/2021","Jun-21",3403434,"5003474-74",21037055,29,20,16.65,333
"808","8206444-44",6598,0.017,618709,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,27,40,33.29,1331.6
"809","8206444-44",6598,0.017,812374,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,37,20,16.65,333
"810","8206444-44",6598,0.017,2259742,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,39,20,15.81,316.2
"811","8206444-44",6598,0.017,114420,"19/1/2021","Jan-21",3403434,"5002915-15",21002514,53,20,16.85,337
"812","8206444-44",6598,0.017,1220050,"31/5/2021","May-21",3403434,"5003451-51",21035518,28,20,16.65,333
"813","8206444-44",6598,0.017,25423,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,39,20,16.85,337
"814","8206444-44",6598,0.017,2533053,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,24,20,16.65,333
"815","8206444-44",6598,0.017,208598,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,36,20,16.85,337
"816","8206472-72",6605,0.017,832583,"14/4/2021","Apr-21",3403434,"5002915-15",21024808,37,20,16.65,333
"817","8206472-72",6605,0.017,363030,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,15,20,16.85,337
"818","8206472-72",6605,0.017,1025715,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,29,20,16.65,333
"819","8206472-72",6605,0.017,618708,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,26,40,33.29,1331.6
"820","8206472-72",6605,0.017,1081980,"14/5/2021","May-21",3403434,"5003474-74",21032286,29,60,49.94,2996.4
"821","8206472-72",6605,0.017,724955,"30/3/2021","Mar-21",3403434,"5003474-74",21020633,33,20,16.65,333
"822","8206472-72",6605,0.017,25424,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,40,20,16.85,337
"823","8206472-72",6605,0.017,444495,"24/2/2021","Feb-21",3403434,"5003476-76",21010352,17,20,16.85,337
"824","8206472-72",6605,0.017,2259743,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,40,20,15.81,316.2
"825","8206472-72",6605,0.017,724978,"30/3/2021","Mar-21",3403434,"5003476-76",21020800,12,20,16.65,333
"826","8206472-72",6605,0.017,643608,"19/3/2021","Mar-21",3403434,"5003451-51",21016766,10,20,16.65,333
"827","8209012-12",9395,0.15,993747,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,38,2,10.88,21.76
"828","8209022-22",9397,0.15,993746,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,37,5,27.19,135.95
"829","8209022-22",9397,0.15,113863,"19/1/2021","Jan-21",3403434,"115-15",21000061,10,5,0,0
"830","8209153-53",9501,0.27,993744,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,35,10,53.25,532.5
"831","8209263-63",9535,0.27,993745,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,36,10,53.25,532.5
"832","820958-58",6690,0.0806,993734,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,25,12,39.37,472.44
"833","8209591-91",6696,0.08,993733,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,24,12,39.37,472.44
"834","8223161-61",5823,0.53,113857,"19/1/2021","Jan-21",3403434,"115-15",21000061,4,2,0,0
"835","8223161-61",5823,0.53,1850450,"30/7/2021","Jul-21",3403434,"115-15",21000867,6,4,0,0
"836","824755-55",6735,0.032,2669991,"28/10/2021","Oct-21",3403434,"5397843-43",21089497,77,200,206.62,41324
"837","824755-55",6735,0.032,2386891,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,23,20,14.12,282.4
"838","824755-55",6735,0.032,25438,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,56,20,14.32,286.4
"839","824755-55",6735,0.032,208612,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,52,20,14.32,286.4
"840","824755-55",6735,0.032,856917,"16/4/2021","Apr-21",3403434,"5397843-43",21025285,7,400,384.32,153728
"841","824755-55",6735,0.032,115956,"19/1/2021","Jan-21",3403434,"5397843-43",21002928,13,40,41.32,1652.8
"842","824755-55",6735,0.032,39921,"11/1/2021","Jan-21",3403434,"5293132-32",21000301,38,20,14.32,286.4
"843","824755-55",6735,0.032,2534281,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,50,40,28.23,1129.2
"844","824755-55",6735,0.032,522198,"5/3/2021","Feb-21",3403434,"5397843-43",21012075,12,100,103.31,10331
"845","824755-55",6735,0.032,1431231,"18/6/2021","Jun-21",3403434,"5397843-43",21038686,16,140,144.63,20248.2
"846","824758-58",6737,0.064,1219483,"31/5/2021","May-21",3403434,"5293132-32",21035554,15,20,29.5,590
"847","824758-58",6737,0.064,2458304,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,27,60,114.96,6897.6
"848","828086-86",5040,0.09,2513160,"11/10/2021","Oct-21",3403434,"5334855-55",21008771,7,120,247.9999975,29759.9997
"849","828086-86",5040,0.09,2661815,"27/10/2021","Oct-21",3403434,"5334855-55",21009276,7,200,413.3333292,82666.66584
"850","8289641-41",5188,0.13,2359986,"23/9/2021","Sep-21",3403434,"5029913-13",21083282,13,384,1466.65,563193.6
"851","8289641-41",5188,0.13,2422046,"30/9/2021","Sep-21",3403434,"5003474-74",21083937,71,24,70.56,1693.44
"852","8289641-41",5188,0.13,2533116,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,92,12,35.28,423.36
"853","8289641-41",5188,0.13,870556,"19/4/2021","Apr-21",3403434,"5029913-13",21025759,10,384,1466.65,563193.6
"854","8289641-41",5188,0.13,25465,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,89,24,71.42,1714.08
"855","8289641-41",5188,0.13,1165042,"25/5/2021","May-21",3403434,"9066250-50",21021776,21,96,366.66,35199.36
"856","8289641-41",5188,0.13,1025755,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,70,24,70.56,1693.44
"857","8289641-41",5188,0.13,735540,"31/3/2021","Mar-21",3403434,"5003451-51",21021247,50,12,35.28,423.36
"858","8289662-62",5205,0.158,2259789,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,89,24,63.81,1531.44
"859","8289662-62",5205,0.158,1165103,"25/5/2021","May-21",3403434,"9066250-50",21022057,36,360,1308.96,471225.6
"860","8289662-62",5205,0.158,2386900,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,35,12,33.59,403.08
"861","8289662-62",5205,0.158,2523345,"12/10/2021","Oct-21",3403434,"5003476-76",21086059,40,24,67.17,1612.08
"862","8289662-62",5205,0.158,1610064,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,52,288,1047.17,301584.96
"863","8289662-62",5205,0.158,2398413,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,25,24,87.26,2094.24
"864","8289662-62",5205,0.158,679422,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,25,288,1047.17,301584.96
"865","8289662-62",5205,0.158,570436,"11/3/2021","Mar-21",3403434,"5003451-51",21013968,47,12,33.59,403.08
"866","8289662-62",5205,0.158,102459,"18/1/2021","Jan-21",3403434,"5003476-76",21001330,23,36,101.86,3666.96
"867","8289662-62",5205,0.158,895931,"21/4/2021","Apr-21",3403434,"5003476-76",21026063,18,24,67.17,1612.08
"868","8289662-62",5205,0.158,2458303,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,26,36,130.9,4712.4
"869","8289662-62",5205,0.158,2336175,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,24,12,43.63,523.56
"870","8289662-62",5205,0.158,1893796,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,46,288,1047.17,301584.96
"871","8289662-62",5205,0.158,444490,"24/2/2021","Feb-21",3403434,"5003476-76",21010352,11,12,33.95,407.4
"872","82902912-12",6383,0.07712,1552462,"1/7/2021","Jun-21",3403434,"5003474-74",21017024,78,96,110.19,10578.24
"873","82902912-12",6383,0.07712,1107892,"18/5/2021","May-21",3403434,"5003451-51",21033036,50,12,15.3,183.6
"874","82902912-12",6383,0.07712,679421,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,24,720,1192.82,858830.4
"875","82902912-12",6383,0.07712,2422050,"30/9/2021","Sep-21",3403434,"5003474-74",21083937,75,24,30.61,734.64
"876","82902912-12",6383,0.07712,1444507,"21/6/2021","Jun-21",3403434,"9066250-50",21022334,2,864,1431.39,1236720.96
"877","82902912-12",6383,0.07712,895930,"21/4/2021","Apr-21",3403434,"5003476-76",21026063,17,24,30.61,734.64
"878","82902912-12",6383,0.07712,1893795,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,45,720,1192.82,858830.4
"879","82902912-12",6383,0.07712,2458298,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,21,36,59.64,2147.04
